soil_type,crop_type,irrigation_type,acres,lat,lon,yield_per_acre,predicted_yield_per_acre,total_yield
sandy,Pulses,canal,10,20.3,85.8,4.20,4.20,42.0
sandy,Pulses,none,10,20.3,85.8,4.25,4.25,42.5
clay,Pulses,drip,10,20.3,85.8,4.20,4.20,42.0
clay,Pulses,sprinkler,10,20.3,85.8,4.25,4.25,42.5
clay,Pulses,canal,10,20.3,85.8,4.30,4.30,43.0
clay,Pulses,none,10,20.3,85.8,4.35,4.35,43.5
red,Pulses,drip,10,20.3,85.8,4.30,4.30,43.0
red,Pulses,sprinkler,10,20.3,85.8,4.35,4.35,43.5
red,Pulses,canal,10,20.3,85.8,4.40,4.40,44.0
red,Pulses,none,10,20.3,85.8,4.45,4.45,44.5
black,Pulses,drip,10,20.3,85.8,4.40,4.40,44.0
black,Pulses,sprinkler,10,20.3,85.8,4.45,4.45,44.5
black,Pulses,canal,10,20.3,85.8,4.50,4.50,45.0
black,Pulses,none,10,20.3,85.8,4.55,4.55,45.5
alluvial,Pulses,drip,10,20.3,85.8,4.50,4.50,45.0
alluvial,Pulses,sprinkler,10,20.3,85.8,4.55,4.55,45.5
alluvial,Pulses,canal,10,20.3,85.8,4.60,4.60,46.0
alluvial,Pulses,none,10,20.3,85.8,4.65,4.65,46.5
laterite,Pulses,drip,10,20.3,85.8,4.60,4.60,46.0
laterite,Pulses,sprinkler,10,20.3,85.8,4.65,4.65,46.5
laterite,Pulses,canal,10,20.3,85.8,4.70,4.70,47.0
laterite,Pulses,none,10,20.3,85.8,4.75,4.75,47.5
peaty,Pulses,drip,10,20.3,85.8,4.70,4.70,47.0
peaty,Pulses,sprinkler,10,20.3,85.8,4.75,4.75,47.5
peaty,Pulses,canal,10,20.3,85.8,4.80,4.80,48.0
peaty,Pulses,none,10,20.3,85.8,4.85,4.85,48.5
saline,Pulses,drip,10,20.3,85.8,4.80,4.80,48.0
saline,Pulses,sprinkler,10,20.3,85.8,4.85,4.85,48.5
saline,Pulses,canal,10,20.3,85.8,4.90,4.90,49.0
saline,Pulses,none,10,20.3,85.8,4.95,4.95,49.5
mixed,Pulses,drip,10,20.3,85.8,4.90,4.90,49.0
mixed,Pulses,sprinkler,10,20.3,85.8,4.95,4.95,49.5
mixed,Pulses,canal,10,20.3,85.8,5.00,5.00,50.0
mixed,Pulses,none,10,20.3,85.8,5.05,5.05,50.5
loamy,Banana,drip,10,20.3,85.8,4.20,4.20,42.0
loamy,Banana,sprinkler,10,20.3,85.8,4.25,4.25,42.5
loamy,Banana,canal,10,20.3,85.8,4.30,4.30,43.0
loamy,Banana,none,10,20.3,85.8,4.35,4.35,43.5
sandy,Banana,drip,10,20.3,85.8,4.30,4.30,43.0
sandy,Banana,sprinkler,10,20.3,85.8,4.35,4.35,43.5
sandy,Banana,canal,10,20.3,85.8,4.40,4.40,44.0
sandy,Banana,none,10,20.3,85.8,4.45,4.45,44.5
clay,Banana,drip,10,20.3,85.8,4.40,4.40,44.0
clay,Banana,sprinkler,10,20.3,85.8,4.45,4.45,44.5
clay,Banana,canal,10,20.3,85.8,4.50,4.50,45.0
clay,Banana,none,10,20.3,85.8,4.55,4.55,45.5
red,Banana,drip,10,20.3,85.8,4.50,4.50,45.0
red,Banana,sprinkler,10,20.3,85.8,4.55,4.55,45.5
red,Banana,canal,10,20.3,85.8,4.60,4.60,46.0
red,Banana,none,10,20.3,85.8,4.65,4.65,46.5
black,Banana,drip,10,20.3,85.8,4.60,4.60,46.0
black,Banana,sprinkler,10,20.3,85.8,4.65,4.65,46.5
black,Banana,canal,10,20.3,85.8,4.70,4.70,47.0
black,Banana,none,10,20.3,85.8,4.75,4.75,47.5
alluvial,Banana,drip,10,20.3,85.8,4.70,4.70,47.0
alluvial,Banana,sprinkler,10,20.3,85.8,4.75,4.75,47.5
alluvial,Banana,canal,10,20.3,85.8,4.80,4.80,48.0
alluvial,Banana,none,10,20.3,85.8,4.85,4.85,48.5
laterite,Banana,drip,10,20.3,85.8,4.80,4.80,48.0
laterite,Banana,sprinkler,10,20.3,85.8,4.85,4.85,48.5
laterite,Banana,canal,10,20.3,85.8,4.90,4.90,49.0
laterite,Banana,none,10,20.3,85.8,4.95,4.95,49.5
peaty,Banana,drip,10,20.3,85.8,4.90,4.90,49.0
peaty,Banana,sprinkler,10,20.3,85.8,4.95,4.95,49.5
peaty,Banana,canal,10,20.3,85.8,5.00,5.00,50.0
peaty,Banana,none,10,20.3,85.8,5.05,5.05,50.5
saline,Banana,drip,10,20.3,85.8,5.00,5.00,50.0
saline,Banana,sprinkler,10,20.3,85.8,5.05,5.05,50.5
saline,Banana,canal,10,20.3,85.8,5.10,5.10,51.0
saline,Banana,none,10,20.3,85.8,5.15,5.15,51.5
mixed,Banana,drip,10,20.3,85.8,5.10,5.10,51.0
mixed,Banana,sprinkler,10,20.3,85.8,5.15,5.15,51.5
mixed,Banana,canal,10,20.3,85.8,5.20,5.20,52.0
mixed,Banana,none,10,20.3,85.8,5.25,5.25,52.5
loamy,Watermelon,drip,10,20.3,85.8,4.40,4.40,44.0
loamy,Watermelon,sprinkler,10,20.3,85.8,4.45,4.45,44.5
loamy,Watermelon,canal,10,20.3,85.8,4.50,4.50,45.0
loamy,Watermelon,none,10,20.3,85.8,4.55,4.55,45.5
sandy,Watermelon,drip,10,20.3,85.8,4.50,4.50,45.0
sandy,Watermelon,sprinkler,10,20.3,85.8,4.55,4.55,45.5
sandy,Watermelon,canal,10,20.3,85.8,4.60,4.60,46.0
sandy,Watermelon,none,10,20.3,85.8,4.65,4.65,46.5
clay,Watermelon,drip,10,20.3,85.8,4.60,4.60,46.0
clay,Watermelon,sprinkler,10,20.3,85.8,4.65,4.65,46.5
clay,Watermelon,canal,10,20.3,85.8,4.70,4.70,47.0
clay,Watermelon,none,10,20.3,85.8,4.75,4.75,47.5
red,Watermelon,drip,10,20.3,85.8,4.70,4.70,47.0
red,Watermelon,sprinkler,10,20.3,85.8,4.75,4.75,47.5
red,Watermelon,canal,10,20.3,85.8,4.80,4.80,48.0
red,Watermelon,none,10,20.3,85.8,4.85,4.85,48.5
black,Watermelon,drip,10,20.3,85.8,4.80,4.80,48.0
black,Watermelon,sprinkler,10,20.3,85.8,4.85,4.85,48.5
black,Watermelon,canal,10,20.3,85.8,4.90,4.90,49.0
black,Watermelon,none,10,20.3,85.8,4.95,4.95,49.5
alluvial,Watermelon,drip,10,20.3,85.8,4.90,4.90,49.0
alluvial,Watermelon,sprinkler,10,20.3,85.8,4.95,4.95,49.5
alluvial,Watermelon,canal,10,20.3,85.8,5.00,5.00,50.0
alluvial,Watermelon,none,10,20.3,85.8,5.05,5.05,50.5
laterite,Watermelon,drip,10,20.3,85.8,5.00,5.00,50.0
laterite,Watermelon,sprinkler,10,20.3,85.8,5.05,5.05,50.5
laterite,Watermelon,canal,10,20.3,85.8,5.10,5.10,51.0
laterite,Watermelon,none,10,20.3,85.8,5.15,5.15,51.5
peaty,Watermelon,drip,10,20.3,85.8,5.10,5.10,51.0
peaty,Watermelon,sprinkler,10,20.3,85.8,5.15,5.15,51.5
peaty,Watermelon,canal,10,20.3,85.8,5.20,5.20,52.0
peaty,Watermelon,none,10,20.3,85.8,5.25,5.25,52.5
saline,Watermelon,drip,10,20.3,85.8,5.20,5.20,52.0
saline,Watermelon,sprinkler,10,20.3,85.8,5.25,5.25,52.5
saline,Watermelon,canal,10,20.3,85.8,5.30,5.30,53.0
saline,Watermelon,none,10,20.3,85.8,5.35,5.35,53.5
mixed,Watermelon,drip,10,20.3,85.8,5.30,5.30,53.0
mixed,Watermelon,sprinkler,10,20.3,85.8,5.35,5.35,53.5
mixed,Watermelon,canal,10,20.3,85.8,5.40,5.40,54.0
mixed,Watermelon,none,10,20.3,85.8,5.45,5.45,54.5
loamy,Onions,drip,10,20.3,85.8,4.60,4.60,46.0
loamy,Onions,sprinkler,10,20.3,85.8,4.65,4.65,46.5
loamy,Onions,canal,10,20.3,85.8,4.70,4.70,47.0
loamy,Onions,none,10,20.3,85.8,4.75,4.75,47.5
sandy,Onions,drip,10,20.3,85.8,4.70,4.70,47.0
sandy,Onions,sprinkler,10,20.3,85.8,4.75,4.75,47.5
sandy,Onions,canal,10,20.3,85.8,4.80,4.80,48.0
sandy,Onions,none,10,20.3,85.8,4.85,4.85,48.5
clay,Onions,drip,10,20.3,85.8,4.80,4.80,48.0
clay,Onions,sprinkler,10,20.3,85.8,4.85,4.85,48.5
clay,Onions,canal,10,20.3,85.8,4.90,4.90,49.0
clay,Onions,none,10,20.3,85.8,4.95,4.95,49.5
red,Onions,drip,10,20.3,85.8,4.90,4.90,49.0
red,Onions,sprinkler,10,20.3,85.8,4.95,4.95,49.5
red,Onions,canal,10,20.3,85.8,5.00,5.00,50.0
red,Onions,none,10,20.3,85.8,5.05,5.05,50.5
black,Onions,drip,10,20.3,85.8,5.00,5.00,50.0
black,Onions,sprinkler,10,20.3,85.8,5.05,5.05,50.5
black,Onions,canal,10,20.3,85.8,5.10,5.10,51.0
black,Onions,none,10,20.3,85.8,5.15,5.15,51.5
alluvial,Onions,drip,10,20.3,85.8,5.10,5.10,51.0
alluvial,Onions,sprinkler,10,20.3,85.8,5.15,5.15,51.5
alluvial,Onions,canal,10,20.3,85.8,5.20,5.20,52.0
alluvial,Onions,none,10,20.3,85.8,5.25,5.25,52.5
laterite,Onions,drip,10,20.3,85.8,5.20,5.20,52.0
laterite,Onions,sprinkler,10,20.3,85.8,5.25,5.25,52.5
laterite,Onions,canal,10,20.3,85.8,5.30,5.30,53.0
laterite,Onions,none,10,20.3,85.8,5.35,5.35,53.5
peaty,Onions,drip,10,20.3,85.8,5.30,5.30,53.0
peaty,Onions,sprinkler,10,20.3,85.8,5.35,5.35,53.5
peaty,Onions,canal,10,20.3,85.8,5.40,5.40,54.0
peaty,Onions,none,10,20.3,85.8,5.45,5.45,54.5
saline,Onions,drip,10,20.3,85.8,5.40,5.40,54.0
saline,Onions,sprinkler,10,20.3,85.8,5.45,5.45,54.5
saline,Onions,canal,10,20.3,85.8,5.50,5.50,55.0
saline,Onions,none,10,20.3,85.8,5.55,5.55,55.5
mixed,Onions,drip,10,20.3,85.8,5.50,5.50,55.0
mixed,Onions,sprinkler,10,20.3,85.8,5.55,5.55,55.5
mixed,Onions,canal,10,20.3,85.8,5.60,5.60,56.0
mixed,Onions,none,10,20.3,85.8,5.65,5.65,56.5
loamy,Groundnut,drip,10,20.3,85.8,4.80,4.80,48.0
loamy,Groundnut,sprinkler,10,20.3,85.8,4.85,4.85,48.5
loamy,Groundnut,canal,10,20.3,85.8,4.90,4.90,49.0
loamy,Groundnut,none,10,20.3,85.8,4.95,4.95,49.5
sandy,Groundnut,drip,10,20.3,85.8,4.90,4.90,49.0
sandy,Groundnut,sprinkler,10,20.3,85.8,4.95,4.95,49.5
sandy,Groundnut,canal,10,20.3,85.8,5.00,5.00,50.0
sandy,Groundnut,none,10,20.3,85.8,5.05,5.05,50.5
clay,Groundnut,drip,10,20.3,85.8,5.00,5.00,50.0
clay,Groundnut,sprinkler,10,20.3,85.8,5.05,5.05,50.5
clay,Groundnut,canal,10,20.3,85.8,5.10,5.10,51.0
clay,Groundnut,none,10,20.3,85.8,5.15,5.15,51.5
red,Groundnut,drip,10,20.3,85.8,5.10,5.10,51.0
red,Groundnut,sprinkler,10,20.3,85.8,5.15,5.15,51.5
red,Groundnut,canal,10,20.3,85.8,5.20,5.20,52.0
red,Groundnut,none,10,20.3,85.8,5.25,5.25,52.5
black,Groundnut,drip,10,20.3,85.8,5.20,5.20,52.0
black,Groundnut,sprinkler,10,20.3,85.8,5.25,5.25,52.5
black,Groundnut,canal,10,20.3,85.8,5.30,5.30,53.0
black,Groundnut,none,10,20.3,85.8,5.35,5.35,53.5
alluvial,Groundnut,drip,10,20.3,85.8,5.30,5.30,53.0
alluvial,Groundnut,sprinkler,10,20.3,85.8,5.35,5.35,53.5
alluvial,Groundnut,canal,10,20.3,85.8,5.40,5.40,54.0
alluvial,Groundnut,none,10,20.3,85.8,5.45,5.45,54.5
laterite,Groundnut,drip,10,20.3,85.8,5.40,5.40,54.0
laterite,Groundnut,sprinkler,10,20.3,85.8,5.45,5.45,54.5
laterite,Groundnut,canal,10,20.3,85.8,5.50,5.50,55.0
laterite,Groundnut,none,10,20.3,85.8,5.55,5.55,55.5
peaty,Groundnut,drip,10,20.3,85.8,5.50,5.50,55.0
peaty,Groundnut,sprinkler,10,20.3,85.8,5.55,5.55,55.5
peaty,Groundnut,canal,10,20.3,85.8,5.60,5.60,56.0
peaty,Groundnut,none,10,20.3,85.8,5.65,5.65,56.5
saline,Groundnut,drip,10,20.3,85.8,5.60,5.60,56.0
saline,Groundnut,sprinkler,10,20.3,85.8,5.65,5.65,56.5
saline,Groundnut,canal,10,20.3,85.8,5.70,5.70,57.0
saline,Groundnut,none,10,20.3,85.8,5.75,5.75,57.5
mixed,Groundnut,drip,10,20.3,85.8,5.70,5.70,57.0
mixed,Groundnut,sprinkler,10,20.3,85.8,5.75,5.75,57.5
mixed,Groundnut,canal,10,20.3,85.8,5.80,5.80,58.0
mixed,Groundnut,none,10,20.3,85.8,5.85,5.85,58.5
